Name,Path,Position,"Is Active","Url Key",Description,Image,"Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"BAR ACCESSORIES","Default Category/CATEGORIES/DINING/DRINKWARE",1,Yes,bar-accessories,,,,,,Yes,"Products only",,No,,,"No layout updates",
"WINE RACKS","BIRDS OF PARADISE root/CATEGORIES",1,Yes,wine-racks,,,,,,Yes,"Products only",,No,,,"No layout updates",
"STORAGE & JEWELLERY BOXES","Default Category/CATEGORIES/DECOR AND FURNISHINGS/STORAGE & ORGANIZERS",1,Yes,storage-&-jewellery-boxes,,,,,,Yes,"Products only",,No,,,"No layout updates",
BOXES,"BIRDS OF PARADISE root/CATEGORIES",1,Yes,boxes,,,,,,Yes,"Products only",,No,,,"No layout updates",
"MIRRORS & MIRROR FRAMES","Default Category/CATEGORIES/DECOR AND FURNISHINGS/HOME ACCESSORIES",1,Yes,mirrors-&-mirror-frames,,,,,,Yes,"Products only",,No,,,"No layout updates",
MIRRORS,"BIRDS OF PARADISE root/CATEGORIES",1,Yes,mirrors,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DECORATIVE TRAYS & PLATTERS","Default Category/CATEGORIES/DECOR AND FURNISHINGS/HOME ACCESSORIES",1,Yes,decorative-trays-&-platters,,,,,,Yes,"Products only",,No,,,"No layout updates",
"DECORATIVE PLATES","BIRDS OF PARADISE root/CATEGORIES",1,Yes,decorative-plates,,,,,,Yes,"Products only",,No,,,"No layout updates",
ART,"Default Category/CATEGORIES",1,Yes,art,,,,,,Yes,"Products only",,No,,,"No layout updates",
DRAWING,"Default Category/CATEGORIES/ART",1,Yes,drawing,,,,,,Yes,"Products only",,No,,,"No layout updates",
FIGURATIVE,"Default Category/CATEGORIES/ART/DRAWING",1,Yes,figurative,,,,,,Yes,"Products only",,No,,,"No layout updates",
CATEGORIES,"GALERIE ART ETERNE root",1,Yes,categories,,,,,,Yes,"Products only",,No,,,"No layout updates",
DRAWING,"GALERIE ART ETERNE root/CATEGORIES",1,Yes,drawing,,,,,,Yes,"Products only",,No,,,"No layout updates",
PAINTING,"Default Category/CATEGORIES/ART",1,Yes,painting,,,,,,Yes,"Products only",,No,,,"No layout updates",
ABSTRACT,"Default Category/CATEGORIES/ART/PAINTING",1,Yes,abstract,,,,,,Yes,"Products only",,No,,,"No layout updates",
PAINTING,"GALERIE ART ETERNE root/CATEGORIES",1,Yes,painting,,,,,,Yes,"Products only",,No,,,"No layout updates",
