Name,Path,Position,"Is Active","Url Key",Description,Image,"Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"CEILING LAMPS","Default Category/CATEGORIES/LIGHTING",1,Yes,ceiling-lamps,,,,,,Yes,"Products only",,No,,,"No layout updates",
STOOLS,"Default Category/CATEGORIES/FURNITURE/OUTDOOR",1,Yes,stools,,,,,,Yes,"Products only",,No,,,"No layout updates",
TABLES,"Default Category/CATEGORIES/FURNITURE/OUTDOOR",1,Yes,tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
DRESSERS,"Default Category/CATEGORIES/FURNITURE/BEDROOM",1,Yes,dressers,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BAR FURNITURE","Default Category/CATEGORIES/FURNITURE",1,Yes,bar-furniture,,,,,,Yes,"Products only",,No,,,"No layout updates",
"BAR STOOLS","Default Category/CATEGORIES/FURNITURE/BAR FURNITURE",1,Yes,bar-stools,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CHEST OF DRAWERS","Default Category/CATEGORIES/FURNITURE/ENTRY WAY",1,Yes,chest-of-drawers,,,,,,Yes,"Products only",,No,,,"No layout updates",
"TEMPLE DECOR & ACCESSORIES","Default Category/CATEGORIES/DECOR & FURNISHING/HOME ACCESSORIES",1,Yes,temple-decor-accessories,,,,,,Yes,"Products only",,No,,,"No layout updates",
"HOME ACCENTS","Default Category/CATEGORIES/DECOR & FURNISHING/HOME ACCESSORIES",1,Yes,home-accents,,,,,,Yes,"Products only",,No,,,"No layout updates",
"ACCESSORIES MEN","Default Category/CATEGORIES/FASHION/ACCESSORIES",1,Yes,accessories-men,,,,,,Yes,"Products only",,No,,,"No layout updates",
"PHOTO FRAMES","Default Category/CATEGORIES/DECOR & FURNISHING/HOME ACCESSORIES",1,Yes,photo-frames,,,,,,Yes,"Products only",,No,,,"No layout updates",
DINNERWARE,"Default Category/CATEGORIES/DINING",1,Yes,dinnerware,,,,,,Yes,"Products only",,No,,,"No layout updates",
"INDIVIDUAL BOWLS","Default Category/CATEGORIES/DINING/DINNERWARE",1,Yes,individual-bowls,,,,,,Yes,"Products only",,No,,,"No layout updates",
"KITCHEN ACCESSORIES","Default Category/CATEGORIES/DINING",1,Yes,kitchen-accessories,,,,,,Yes,"Products only",,No,,,"No layout updates",
"CARPETS + RUGS + MATS","Default Category/CATEGORIES/DECOR & FURNISHING",1,Yes,carpets-rugs-mats,,,,,,Yes,"Products only",,No,,,"No layout updates",
"STUDY TABLES","Default Category/CATEGORIES/FURNITURE/ENTRY WAY",1,Yes,study-tables,,,,,,Yes,"Products only",,No,,,"No layout updates",
ARMCHAIRS,"Default Category/CATEGORIES/FURNITURE/LIVING ROOM",1,Yes,armchairs,,,,,,Yes,"Products only",,No,,,"No layout updates",
CHAIRS,"Default Category/CATEGORIES/FURNITURE/OUTDOOR",1,Yes,chairs,,,,,,Yes,"Products only",,No,,,"No layout updates",
